WARNING: QDox parse error in file:///C:/Users/SHP/OneDrive/Escritorio/a/Carpetas/Universidad/Septimo%20semestre/Desarrollo%20III/delivery-routing-service-softdev/src/main/java/com/softdev/delivery_routing/use_cases/service/dtos/package-info.java (full report at: C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\.metals\.reports\metals-full\2025-05-29\r_qdox-error_16-04-03-354.md)
2025.05.29 16:04:03 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:03 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:03 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:04 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:04 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:04 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:04 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:04 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:04 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:04 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:04 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:05 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:05 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:05 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:06 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:05 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:05 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:06 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:05 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:05 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
may 29, 2025 4:04:06 P. M. org.eclipse.lsp4j.jsonrpc.RemoteEndpoint handleCancellation
WARNING: Unmatched cancel notification for request id 119
2025.05.29 16:04:05 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:05 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:06 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:06 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:07 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:06 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:06 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:07 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
2025.05.29 16:04:06 INFO  no build target found for C:\Users\SHP\OneDrive\Escritorio\a\Carpetas\Universidad\Septimo semestre\Desarrollo III\delivery-routing-service-softdev\src\main\java\com\softdev\delivery_routing\use_cases\service\dtos\package-info.java. Using fallback presentation compiler.
